day,keyword,page_type,title,target_url
1,youtube title generator,tool-guide,SEO Title Generator: Practical Guide and Examples,/tools/title-generator
2,meta description generator,tool-guide,Meta Description Generator: Practical Guide and Examples,/tools/meta-description
3,hashtag generator,tool-guide,Hashtag Generator: Practical Guide and Examples,/tools/hashtag-generator
4,word counter,tool-guide,Word Counter: Practical Guide and Examples,/tools/word-counter
5,UTM builder,tool-guide,UTM Builder: Practical Guide and Examples,/tools/utm-builder
6,keyword density checker,tool-guide,Keyword Density Checker: Practical Guide and Examples,/tools/keyword-density-checker
7,slug generator,tool-guide,Slug Generator: Practical Guide and Examples,/tools/slug-generator
8,content brief generator,tool-guide,Content Brief Generator: Practical Guide and Examples,/tools/content-brief-generator
9,youtube description generator,tool-guide,YouTube Description Generator: Practical Guide and Examples,/tools/youtube-description-generator
10,faq generator,tool-guide,FAQ Generator: Practical Guide and Examples,/tools/faq-generator
11,blog outline generator,tool-guide,Blog Outline Generator: Practical Guide and Examples,/tools/blog-outline-generator
12,social caption generator,tool-guide,Social Caption Generator: Practical Guide and Examples,/tools/social-caption-generator
13,adsense readiness checklist,tool-guide,AdSense Readiness Checklist: Practical Guide and Examples,/tools/adsense-readiness-checklist
14,faq schema generator,tool-guide,FAQ Schema JSON-LD Generator: Practical Guide and Examples,/tools/faq-schema-generator
15,robots txt generator,tool-guide,Robots.txt Generator: Practical Guide and Examples,/tools/robots-generator
16,sitemap url builder,tool-guide,Sitemap URL Builder: Practical Guide and Examples,/tools/sitemap-url-builder
